Neurons,Activation function,Number of EPOCHs,Optimization algorithm,learning rate,Error rate of mean,Error rate of variance,Error rate of skewness
"[4, 8, 5, 3]",tanh,1000,Adam,0.0003,0.19226612150669098,0.9558963775634766,0.19226612150669098
"[4, 8, 5, 3]",tanh,1000,Adam,0.0002,0.1821122020483017,0.9278265237808228,0.1821122020483017
"[4, 8, 5, 3]",tanh,1000,Adam,0.0001,0.29697751998901367,0.981674313545227,0.29697751998901367
"[4, 8, 5, 3]",tanh,1000,SGD,0.003,0.21503761410713196,1.0165016651153564,0.21503761410713196
"[4, 8, 5, 3]",tanh,1000,SGD,0.002,0.2511711120605469,0.8797976970672607,0.2511711120605469
"[4, 8, 5, 3]",tanh,1000,SGD,0.001,0.22298139333724976,0.6062366962432861,0.22298139333724976
"[4, 8, 5, 3]",tanh,1000,SGD,0.0003,1.1660401821136475,0.9427090287208557,1.1660401821136475
"[4, 8, 5, 3]",tanh,1000,SGD,0.0002,1.0360947847366333,2.2676737308502197,1.0360947847366333
"[4, 8, 5, 3]",tanh,1000,SGD,0.0001,0.7427980899810791,0.9418622851371765,0.7427980899810791
"[4, 8, 5, 3]",tanh,10000,Adam,0.003,0.010682622902095318,0.07970117032527924,0.010682622902095318
"[4, 8, 5, 3]",tanh,10000,Adam,0.002,0.012864992022514343,0.12635470926761627,0.012864992022514343
"[4, 8, 5, 3]",tanh,10000,Adam,0.001,0.017006810754537582,0.12066652625799179,0.017006810754537582
"[4, 8, 5, 3]",tanh,10000,Adam,0.0003,0.035498958081007004,0.1515287160873413,0.035498958081007004
"[4, 8, 5, 3]",tanh,10000,Adam,0.0002,0.036201111972332,0.3836296796798706,0.036201111972332
"[4, 8, 5, 3]",tanh,10000,Adam,0.0001,0.03926971182227135,0.2469618171453476,0.03926971182227135
"[4, 8, 5, 3]",tanh,10000,SGD,0.003,0.12766243517398834,0.45573705434799194,0.12766243517398834
"[4, 8, 5, 3]",tanh,10000,SGD,0.002,0.1507435292005539,0.9827754497528076,0.1507435292005539
"[4, 8, 5, 3]",tanh,10000,SGD,0.001,0.2218788117170334,1.1930714845657349,0.2218788117170334
"[4, 8, 5, 3]",tanh,10000,SGD,0.0003,0.20601598918437958,1.0251202583312988,0.20601598918437958
"[4, 8, 5, 3]",tanh,10000,SGD,0.0002,0.21929028630256653,0.8201833367347717,0.21929028630256653
"[4, 8, 5, 3]",tanh,10000,SGD,0.0001,0.25691908597946167,0.7135688066482544,0.25691908597946167
"[4, 6, 5, 4, 3]",relu,1000,Adam,0.003,0.039114974439144135,0.2630790174007416,0.039114974439144135
"[4, 6, 5, 4, 3]",relu,1000,Adam,0.002,0.06310532987117767,0.5789598822593689,0.06310532987117767
"[4, 6, 5, 4, 3]",relu,1000,Adam,0.001,0.21923115849494934,0.7594873905181885,0.21923115849494934
"[4, 6, 5, 4, 3]",relu,1000,Adam,0.0003,0.20136955380439758,1.0706722736358643,0.20136955380439758
"[4, 6, 5, 4, 3]",relu,1000,Adam,0.0002,0.18157556653022766,1.0828458070755005,0.18157556653022766
"[4, 6, 5, 4, 3]",relu,1000,Adam,0.0001,0.18279078602790833,0.6115530729293823,0.18279078602790833
"[4, 6, 5, 4, 3]",relu,1000,SGD,0.003,0.24949660897254944,0.8411219120025635,0.24949660897254944
"[4, 6, 5, 4, 3]",relu,1000,SGD,0.002,0.3606375455856323,0.7403728365898132,0.3606375455856323
"[4, 6, 5, 4, 3]",relu,1000,SGD,0.001,0.4263402223587036,0.7686445116996765,0.4263402223587036
"[4, 6, 5, 4, 3]",relu,1000,SGD,0.0003,0.5491141676902771,0.7235094308853149,0.5491141676902771
"[4, 6, 5, 4, 3]",relu,1000,SGD,0.0002,0.8146849274635315,2.4681782722473145,0.8146849274635315
"[4, 6, 5, 4, 3]",relu,1000,SGD,0.0001,1.0576547384262085,3.3514657020568848,1.0576547384262085
"[4, 6, 5, 4, 3]",relu,10000,Adam,0.003,0.22954998910427094,0.8795678615570068,0.22954998910427094
"[4, 6, 5, 4, 3]",relu,10000,Adam,0.002,0.051558006554841995,0.7599278688430786,0.051558006554841995
"[4, 6, 5, 4, 3]",relu,10000,Adam,0.001,0.055843885987997055,0.8042952418327332,0.055843885987997055
"[4, 6, 5, 4, 3]",relu,10000,Adam,0.0003,0.23311099410057068,1.042325496673584,0.23311099410057068
"[4, 6, 5, 4, 3]",relu,10000,Adam,0.0002,0.0454731248319149,0.6731014251708984,0.0454731248319149
"[4, 6, 5, 4, 3]",relu,10000,Adam,0.0001,0.08723820000886917,0.9292240142822266,0.08723820000886917
"[4, 6, 5, 4, 3]",relu,10000,SGD,0.003,0.23308517038822174,1.041091799736023,0.23308517038822174
"[4, 6, 5, 4, 3]",relu,10000,SGD,0.002,0.22397765517234802,1.0031315088272095,0.22397765517234802
"[4, 6, 5, 4, 3]",relu,10000,SGD,0.001,0.233540877699852,1.0253833532333374,0.233540877699852
"[4, 6, 5, 4, 3]",relu,10000,SGD,0.0003,0.21687950193881989,1.0630398988723755,0.21687950193881989
"[4, 6, 5, 4, 3]",relu,10000,SGD,0.0002,0.22601473331451416,1.076841115951538,0.22601473331451416
"[4, 6, 5, 4, 3]",relu,10000,SGD,0.0001,0.2522341310977936,0.749284565448761,0.2522341310977936
"[4, 6, 5, 4, 3]",tanh,1000,Adam,0.003,0.08848971873521805,0.6445716619491577,0.08848971873521805
"[4, 6, 5, 4, 3]",tanh,1000,Adam,0.002,0.0516589879989624,0.500629723072052,0.0516589879989624
"[4, 6, 5, 4, 3]",tanh,1000,Adam,0.001,0.11547837406396866,0.46201851963996887,0.11547837406396866
"[4, 6, 5, 4, 3]",tanh,1000,Adam,0.0003,0.1629893183708191,0.434666246175766,0.1629893183708191
"[4, 6, 5, 4, 3]",tanh,1000,Adam,0.0002,0.16421827673912048,0.936005175113678,0.16421827673912048
"[4, 6, 5, 4, 3]",tanh,1000,Adam,0.0001,0.4844096899032593,1.0557541847229004,0.4844096899032593
"[4, 6, 5, 4, 3]",tanh,1000,SGD,0.003,0.2202686369419098,0.9174548387527466,0.2202686369419098
"[4, 6, 5, 4, 3]",tanh,1000,SGD,0.002,0.23177704215049744,0.9650204181671143,0.23177704215049744
"[4, 6, 5, 4, 3]",tanh,1000,SGD,0.001,0.22812587022781372,1.0465425252914429,0.22812587022781372
"[4, 6, 5, 4, 3]",tanh,1000,SGD,0.0003,0.3347005844116211,1.2030774354934692,0.3347005844116211
"[4, 6, 5, 4, 3]",tanh,1000,SGD,0.0002,0.38614988327026367,0.7184228301048279,0.38614988327026367
"[4, 6, 5, 4, 3]",tanh,1000,SGD,0.0001,0.5935871601104736,2.2312097549438477,0.5935871601104736
"[4, 6, 5, 4, 3]",tanh,10000,Adam,0.003,0.01513983216136694,0.13045528531074524,0.01513983216136694
"[4, 6, 5, 4, 3]",tanh,10000,Adam,0.002,0.026469869539141655,0.1137380450963974,0.026469869539141655
"[4, 6, 5, 4, 3]",tanh,10000,Adam,0.001,0.02123689092695713,0.1832931488752365,0.02123689092695713
"[4, 6, 5, 4, 3]",tanh,10000,Adam,0.0003,0.03111937828361988,0.1115710586309433,0.03111937828361988
"[4, 6, 5, 4, 3]",tanh,10000,Adam,0.0002,0.05165617913007736,0.75137859582901,0.05165617913007736
"[4, 6, 5, 4, 3]",tanh,10000,Adam,0.0001,0.057925205677747726,0.2953949570655823,0.057925205677747726
"[4, 6, 5, 4, 3]",tanh,10000,SGD,0.003,0.21213416755199432,1.0456323623657227,0.21213416755199432
"[4, 6, 5, 4, 3]",tanh,10000,SGD,0.002,0.2216225117444992,0.9988707304000854,0.2216225117444992
"[4, 6, 5, 4, 3]",tanh,10000,SGD,0.001,0.21657635271549225,0.981770932674408,0.21657635271549225
"[4, 6, 5, 4, 3]",tanh,10000,SGD,0.0003,0.2242584228515625,0.8557680249214172,0.2242584228515625
"[4, 6, 5, 4, 3]",tanh,10000,SGD,0.0002,0.24206003546714783,0.8143130540847778,0.24206003546714783
"[4, 6, 5, 4, 3]",tanh,10000,SGD,0.0001,0.211989164352417,0.8793789744377136,0.211989164352417
"[4, 4, 6, 6, 4, 3]",relu,1000,Adam,0.003,0.0411822684109211,0.5393105149269104,0.0411822684109211
"[4, 4, 6, 6, 4, 3]",relu,1000,Adam,0.002,0.04547053202986717,0.5198917388916016,0.04547053202986717
"[4, 4, 6, 6, 4, 3]",relu,1000,Adam,0.001,0.19462284445762634,1.0118507146835327,0.19462284445762634
"[4, 4, 6, 6, 4, 3]",relu,1000,Adam,0.0003,0.20649009943008423,0.7572160959243774,0.20649009943008423
"[4, 4, 6, 6, 4, 3]",relu,1000,Adam,0.0002,0.22844362258911133,0.8912987112998962,0.22844362258911133
"[4, 4, 6, 6, 4, 3]",relu,1000,Adam,0.0001,0.20034880936145782,1.1742477416992188,0.20034880936145782
"[4, 4, 6, 6, 4, 3]",relu,1000,SGD,0.003,0.22881381213665009,1.0124446153640747,0.22881381213665009
"[4, 4, 6, 6, 4, 3]",relu,1000,SGD,0.002,0.31666919589042664,0.723421037197113,0.31666919589042664
"[4, 4, 6, 6, 4, 3]",relu,1000,SGD,0.001,0.4703179895877838,1.0759150981903076,0.4703179895877838
"[4, 4, 6, 6, 4, 3]",relu,1000,SGD,0.0003,0.6807385087013245,2.154071569442749,0.6807385087013245
"[4, 4, 6, 6, 4, 3]",relu,1000,SGD,0.0002,0.39756348729133606,0.9702548980712891,0.39756348729133606
"[4, 4, 6, 6, 4, 3]",relu,1000,SGD,0.0001,0.7396754622459412,1.2423282861709595,0.7396754622459412
"[4, 4, 6, 6, 4, 3]",relu,10000,Adam,0.003,0.2331068217754364,1.0423251390457153,0.2331068217754364
"[4, 4, 6, 6, 4, 3]",relu,10000,Adam,0.002,0.03464027866721153,0.24366652965545654,0.03464027866721153
"[4, 4, 6, 6, 4, 3]",relu,10000,Adam,0.001,0.0352613627910614,0.5670002698898315,0.0352613627910614
"[4, 4, 6, 6, 4, 3]",relu,10000,Adam,0.0003,0.2292761206626892,0.8111582398414612,0.2292761206626892
"[4, 4, 6, 6, 4, 3]",relu,10000,Adam,0.0002,0.2331065833568573,1.0423246622085571,0.2331065833568573
"[4, 4, 6, 6, 4, 3]",relu,10000,Adam,0.0001,0.09973935782909393,0.752749502658844,0.09973935782909393
"[4, 4, 6, 6, 4, 3]",relu,10000,SGD,0.003,0.2331041395664215,1.0423009395599365,0.2331041395664215
"[4, 4, 6, 6, 4, 3]",relu,10000,SGD,0.002,0.23310279846191406,1.0422890186309814,0.23310279846191406
"[4, 4, 6, 6, 4, 3]",relu,10000,SGD,0.001,0.2330923229455948,1.056429147720337,0.2330923229455948
"[4, 4, 6, 6, 4, 3]",relu,10000,SGD,0.0003,0.24997952580451965,0.9068780541419983,0.24997952580451965
"[4, 4, 6, 6, 4, 3]",relu,10000,SGD,0.0002,0.25713205337524414,0.7869999408721924,0.25713205337524414
"[4, 4, 6, 6, 4, 3]",relu,10000,SGD,0.0001,0.4754233658313751,0.8480520844459534,0.4754233658313751
"[4, 4, 6, 6, 4, 3]",tanh,1000,Adam,0.003,0.04493594914674759,0.2601165175437927,0.04493594914674759
"[4, 4, 6, 6, 4, 3]",tanh,1000,Adam,0.002,0.04549587890505791,0.36343318223953247,0.04549587890505791
"[4, 4, 6, 6, 4, 3]",tanh,1000,Adam,0.001,0.050210896879434586,0.9712761640548706,0.050210896879434586
"[4, 4, 6, 6, 4, 3]",tanh,1000,Adam,0.0003,0.22397379577159882,0.9572957158088684,0.22397379577159882
"[4, 4, 6, 6, 4, 3]",tanh,1000,Adam,0.0002,0.22206029295921326,0.936772346496582,0.22206029295921326
"[4, 4, 6, 6, 4, 3]",tanh,1000,Adam,0.0001,0.27614694833755493,0.7326300740242004,0.27614694833755493
"[4, 4, 6, 6, 4, 3]",tanh,1000,SGD,0.003,0.21762678027153015,1.0898269414901733,0.21762678027153015
"[4, 4, 6, 6, 4, 3]",tanh,1000,SGD,0.002,0.218031108379364,0.9938436150550842,0.218031108379364
"[4, 4, 6, 6, 4, 3]",tanh,1000,SGD,0.001,0.2682372033596039,0.852480947971344,0.2682372033596039
"[4, 4, 6, 6, 4, 3]",tanh,1000,SGD,0.0003,0.690646231174469,0.718500554561615,0.690646231174469
"[4, 4, 6, 6, 4, 3]",tanh,1000,SGD,0.0002,0.9944400787353516,0.8252378106117249,0.9944400787353516
"[4, 4, 6, 6, 4, 3]",tanh,1000,SGD,0.0001,0.9505326151847839,0.9671793580055237,0.9505326151847839
"[4, 4, 6, 6, 4, 3]",tanh,10000,Adam,0.003,0.032359529286623,0.2024356573820114,0.032359529286623
"[4, 4, 6, 6, 4, 3]",tanh,10000,Adam,0.002,0.01541678886860609,0.11455295234918594,0.01541678886860609
"[4, 4, 6, 6, 4, 3]",tanh,10000,Adam,0.001,0.026066308841109276,0.10392165184020996,0.026066308841109276
"[4, 4, 6, 6, 4, 3]",tanh,10000,Adam,0.0003,0.05294758826494217,0.25056105852127075,0.05294758826494217
"[4, 4, 6, 6, 4, 3]",tanh,10000,Adam,0.0002,0.043542005121707916,0.424394428730011,0.043542005121707916
"[4, 4, 6, 6, 4, 3]",tanh,10000,Adam,0.0001,0.040610626339912415,0.22358588874340057,0.040610626339912415
"[4, 4, 6, 6, 4, 3]",tanh,10000,SGD,0.003,0.22559267282485962,1.0291624069213867,0.22559267282485962
"[4, 4, 6, 6, 4, 3]",tanh,10000,SGD,0.002,0.21872654557228088,1.0544270277023315,0.21872654557228088
"[4, 4, 6, 6, 4, 3]",tanh,10000,SGD,0.001,0.22820892930030823,1.0130715370178223,0.22820892930030823
"[4, 4, 6, 6, 4, 3]",tanh,10000,SGD,0.0003,0.22987215220928192,0.9178522825241089,0.22987215220928192
"[4, 4, 6, 6, 4, 3]",tanh,10000,SGD,0.0002,0.2442702203989029,0.9943612813949585,0.2442702203989029
"[4, 4, 6, 6, 4, 3]",tanh,10000,SGD,0.0001,0.25596845149993896,0.8176115155220032,0.25596845149993896
"[4, 6, 8, 8, 3]",relu,1000,Adam,0.003,0.023446664214134216,0.265855610370636,0.023446664214134216
"[4, 6, 8, 8, 3]",relu,1000,Adam,0.002,0.041655924171209335,0.14037826657295227,0.041655924171209335
"[4, 6, 8, 8, 3]",relu,1000,Adam,0.001,0.14645476639270782,0.7164103984832764,0.14645476639270782
"[4, 6, 8, 8, 3]",relu,1000,Adam,0.0003,0.17350128293037415,0.8008905053138733,0.17350128293037415
"[4, 6, 8, 8, 3]",relu,1000,Adam,0.0002,0.11756596714258194,0.8958626389503479,0.11756596714258194
"[4, 6, 8, 8, 3]",relu,1000,Adam,0.0001,0.4455908238887787,0.8082296848297119,0.4455908238887787
"[4, 6, 8, 8, 3]",relu,1000,SGD,0.003,0.22531753778457642,0.9142287373542786,0.22531753778457642
"[4, 6, 8, 8, 3]",relu,1000,SGD,0.002,0.22781285643577576,1.0041999816894531,0.22781285643577576
"[4, 6, 8, 8, 3]",relu,1000,SGD,0.001,0.26583489775657654,0.7151574492454529,0.26583489775657654
"[4, 6, 8, 8, 3]",relu,1000,SGD,0.0003,0.9846132397651672,0.8509650826454163,0.9846132397651672
"[4, 6, 8, 8, 3]",relu,1000,SGD,0.0002,0.7101180553436279,1.8969104290008545,0.7101180553436279
"[4, 6, 8, 8, 3]",relu,1000,SGD,0.0001,1.2383571863174438,1.7250622510910034,1.2383571863174438
"[4, 6, 8, 8, 3]",relu,10000,Adam,0.003,0.040054772049188614,0.2120843380689621,0.040054772049188614
"[4, 6, 8, 8, 3]",relu,10000,Adam,0.002,0.06268607825040817,0.6712108254432678,0.06268607825040817
"[4, 6, 8, 8, 3]",relu,10000,Adam,0.001,0.04139525070786476,0.2028726190328598,0.04139525070786476
"[4, 6, 8, 8, 3]",relu,10000,Adam,0.0003,0.03946959227323532,0.27232813835144043,0.03946959227323532
"[4, 6, 8, 8, 3]",relu,10000,Adam,0.0002,0.04051997512578964,0.24115554988384247,0.04051997512578964
"[4, 6, 8, 8, 3]",relu,10000,Adam,0.0001,0.04422628879547119,0.2663443386554718,0.04422628879547119
"[4, 6, 8, 8, 3]",relu,10000,SGD,0.003,0.1487908661365509,1.0395700931549072,0.1487908661365509
"[4, 6, 8, 8, 3]",relu,10000,SGD,0.002,0.2306281477212906,1.005653977394104,0.2306281477212906
"[4, 6, 8, 8, 3]",relu,10000,SGD,0.001,0.23061111569404602,0.9774452447891235,0.23061111569404602
"[4, 6, 8, 8, 3]",relu,10000,SGD,0.0003,0.22537368535995483,1.0182353258132935,0.22537368535995483
"[4, 6, 8, 8, 3]",relu,10000,SGD,0.0002,0.22038833796977997,0.9750454425811768,0.22038833796977997
"[4, 6, 8, 8, 3]",relu,10000,SGD,0.0001,0.42858758568763733,0.7108190059661865,0.42858758568763733
"[4, 6, 8, 8, 3]",tanh,1000,Adam,0.003,0.04776102304458618,0.4164389967918396,0.04776102304458618
"[4, 6, 8, 8, 3]",tanh,1000,Adam,0.002,0.04383613169193268,0.7094319462776184,0.04383613169193268
"[4, 6, 8, 8, 3]",tanh,1000,Adam,0.001,0.07999549806118011,0.5032714009284973,0.07999549806118011
"[4, 6, 8, 8, 3]",tanh,1000,Adam,0.0003,0.19020655751228333,0.9899564385414124,0.19020655751228333
"[4, 6, 8, 8, 3]",tanh,1000,Adam,0.0002,0.20318645238876343,0.9116500020027161,0.20318645238876343
"[4, 6, 8, 8, 3]",tanh,1000,Adam,0.0001,0.16472984850406647,0.9948482513427734,0.16472984850406647
"[4, 6, 8, 8, 3]",tanh,1000,SGD,0.003,0.23309163749217987,0.9630963206291199,0.23309163749217987
"[4, 6, 8, 8, 3]",tanh,1000,SGD,0.002,0.22446802258491516,0.9640195965766907,0.22446802258491516
"[4, 6, 8, 8, 3]",tanh,1000,SGD,0.001,0.2573610842227936,1.0504331588745117,0.2573610842227936
"[4, 6, 8, 8, 3]",tanh,1000,SGD,0.0003,0.30070364475250244,0.8842199444770813,0.30070364475250244
"[4, 6, 8, 8, 3]",tanh,1000,SGD,0.0002,0.40749889612197876,0.8786147832870483,0.40749889612197876
"[4, 6, 8, 8, 3]",tanh,1000,SGD,0.0001,0.5771591663360596,0.6819694638252258,0.5771591663360596
"[4, 6, 8, 8, 3]",tanh,10000,Adam,0.003,0.015329624526202679,0.06634420901536942,0.015329624526202679
"[4, 6, 8, 8, 3]",tanh,10000,Adam,0.002,0.008856534026563168,0.07806991040706635,0.008856534026563168
"[4, 6, 8, 8, 3]",tanh,10000,Adam,0.001,0.013362827710807323,0.06822966039180756,0.013362827710807323
"[4, 6, 8, 8, 3]",tanh,10000,Adam,0.0003,0.037212081253528595,0.1456458568572998,0.037212081253528595
"[4, 6, 8, 8, 3]",tanh,10000,Adam,0.0002,0.04481424391269684,0.19686976075172424,0.04481424391269684
"[4, 6, 8, 8, 3]",tanh,10000,Adam,0.0001,0.04374213144183159,0.24402615427970886,0.04374213144183159
"[4, 6, 8, 8, 3]",tanh,10000,SGD,0.003,0.18527385592460632,1.0316336154937744,0.18527385592460632
"[4, 6, 8, 8, 3]",tanh,10000,SGD,0.002,0.18122172355651855,0.9105128049850464,0.18122172355651855
"[4, 6, 8, 8, 3]",tanh,10000,SGD,0.001,0.21198220551013947,0.9832335114479065,0.21198220551013947
"[4, 6, 8, 8, 3]",tanh,10000,SGD,0.0003,0.2087734192609787,1.013159990310669,0.2087734192609787
"[4, 6, 8, 8, 3]",tanh,10000,SGD,0.0002,0.2238648682832718,0.9242511987686157,0.2238648682832718
"[4, 6, 8, 8, 3]",tanh,10000,SGD,0.0001,0.2777925729751587,1.0987660884857178,0.2777925729751587
